TemplateType=Home	Version=2015.0408	The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.
SKU	Update Delete
item_sku	update_delete
FR-6017953	x
FR-6073186	x
FR-6089026	x
FR-6160170	x
FR-6199275	x
FR-6424543	x
FR-6446105	x
FR-6446268	x
FR-6501474	x
FR-6667498	x
FR-6716273	x
FR-6753698	x
FR-6763181	x
FR-6772542	x
FR-6787995	x
FR-6797833	x
FR-6828068	x
FR-6831403	x
FR-6837543	x
FR-6837859	x
FR-6840711	x
FR-6853221	x
FR-6853612	x
FR-6858424	x
FR-6892563	x
FR-6918921	x
FR-6925164	x
FR-6933132	x
FR-6967383	x
FR-6971573	x
FR-6980874	x
FR-7147657	x
FR-7156440	x
FR-7167616	x
FR-7176738	x
FR-7179211	x
FR-7204105	x
FR-7212712	x
FR-7217394	x
FR-7235002	x
FR-7251206	x
FR-7262086	x
FR-11127819	x
FR-11205371	x
FR-14831195	x
FR-17218870	x
FR-45493676	x
FR-60223767	x
FR-60250605	x
FR-60267092	x
FR-60295832	x
FR-60297963	x
FR-60337862	x
FR-60351749	x
FR-60355431	x
FR-60359451	x
FR-60362351	x
FR-60364217	x
FR-60374150	x
FR-60421641	x
FR-60429796	x
FR-60533885	x
FR-60794206	x
FR-60800567	x
FR-60807029	x
FR-60821846	x
FR-60832175	x
FR-60851701	x
FR-60865956	x
FR-60925217	x
FR-61003820	x
FR-61046399	x
FR-61052003	x
FR-61229548	x
FR-61244496	x
FR-61267144	x
FR-61277401	x
FR-61314939	x
FR-61320520	x
FR-61356622	x
FR-61367097	x
FR-61418787	x
FR-61479973	x
FR-61529270	x
FR-61564153	x
FR-61583447	x
FR-61623439	x
FR-61627404	x
FR-61653940	x
FR-61666241	x
FR-61691818	x
FR-61767887	x
FR-61858049	x
FR-61890359	x
FR-61961977	x
FR-61985775	x
FR-62125102	x
FR-62158678	x
FR-62187147	x
FR-62242204	x
FR-62295268	x
FR-62357012	x
FR-62373982	x
FR-63406620	x
FR-63537424	x
FR-63697656	x
FR-63722960	x
FR-63757395	x
FR-63801971	x
FR-63888128	x
FR-63920781	x
FR-63941351	x
FR-63944407	x
FR-63961186	x
FR-64012910	x
FR-64047718	x
FR-64070574	x
FR-64077462	x
FR-64195063	x
FR-64243429	x
FR-64247989	x
FR-64258468	x
FR-64260151	x
FR-64265787	x
FR-64272603	x
FR-64276926	x
FR-64290347	x
FR-64359639	x
FR-64364791	x
FR-64373042	x
FR-64391458	x
FR-64455691	x
FR-64466620	x
FR-64474739	x
FR-64480489	x
FR-64504170	x
FR-64512399	x
FR-64527703	x
FR-64617619	x
FR-64621126	x
FR-64657729	x
FR-64686662	x
FR-64691655	x
FR-64700031	x
FR-64790096	x
FR-64802934	x
FR-64809138	x
FR-64816924	x
FR-64848826	x
FR-64851686	x
FR-64857879	x
FR-64891952	x
FR-64911088	x
FR-64916670	x
FR-64929005	x
FR-64969538	x
FR-64991509	x
FR-65017427	x
FR-65024585	x
FR-65105618	x
FR-65118027	x
FR-65165253	x
FR-65205648	x
FR-65305541	x
FR-65332168	x
FR-65379661	x
FR-65394167	x
FR-65427001	x
FR-65594599	x
FR-65628084	x
FR-65645630	x
FR-65680112	x
FR-65720932	x
FR-65759589	x
FR-65764157	x
FR-65770167	x
FR-65778894	x
FR-65920142	x
FR-66081158	x
FR-66091360	x
FR-66104307	x
FR-66164939	x
FR-66373369	x
FR-66385129	x
FR-66491896	x
FR-66669069	x
FR-66710123	x
FR-66811942	x
FR-66846511	x
FR-66851875	x
FR-66920932	x
FR-67055160	x
FR-67116514	x
FR-67122470	x
FR-67141078	x
FR-67171409	x
FR-67215714	x
FR-67239496	x
FR-67251088	x
FR-67254145	x
FR-67262307	x
FR-67262866	x
FR-67289568	x
FR-67323113	x
FR-67348176	x
FR-67349121	x
FR-67366865	x
FR-67380048	x
FR-67380082	x
FR-67428701	x
FR-67449332	x
FR-67469661	x
FR-67477024	x
FR-67492936	x
FR-67517930	x
FR-67522233	x
FR-67537791	x
FR-67539031	x
FR-67588845	x
FR-67593664	x
FR-67602584	x
FR-67609031	x
FR-67614857	x
FR-67641250	x
FR-67675356	x
FR-67689081	x
FR-67710421	x
FR-67714101	x
FR-67715725	x
FR-67717772	x
FR-67719307	x
FR-67719794	x
FR-67723427	x
FR-67746590	x
FR-67757409	x
FR-67758408	x
FR-67769896	x
FR-67779860	x
FR-67815567	x
FR-67823851	x
FR-67845549	x
FR-67876169	x
FR-67883335	x
FR-67885270	x
FR-67891781	x
FR-68036742	x
FR-68079916	x
FR-68083492	x
FR-68097981	x
FR-68114351	x
FR-68115274	x
FR-68139467	x
FR-68163738	x
FR-68169892	x
FR-68260076	x
FR-68274942	x
FR-68368602	x
FR-68372176	x
FR-68380220	x
FR-68391643	x
FR-68429727	x
FR-68445607	x
FR-68458440	x
FR-68518250	x
FR-68521896	x
FR-68522324	x
FR-68531061	x
FR-68531110	x
FR-68536952	x
FR-68540470	x
FR-68641892	x
FR-68644154	x
FR-68664054	x
FR-68683212	x
FR-68698167	x
FR-68702294	x
FR-68712540	x
FR-68760696	x
FR-68847360	x
FR-68897038	x
FR-68996960	x
FR-69005674	x
FR-69055449	x
FR-69093421	x
FR-69122730	x
FR-69132124	x
FR-69142186	x
FR-69142991	x
FR-69171329	x
FR-69191620	x
FR-69212443	x
FR-69239519	x
FR-69259905	x
FR-69262287	x
FR-69278119	x
FR-69316678	x
FR-69332017	x
FR-69372230	x
FR-69378826	x
FR-69392560	x
FR-69418814	x
FR-69445077	x
FR-69447647	x
FR-69464993	x
FR-69492975	x
FR-69506246	x
FR-69509925	x
FR-69516603	x
FR-69558581	x
FR-69567457	x
FR-69593480	x
FR-69615310	x
FR-69731243	x
FR-69750478	x
FR-69797838	x
FR-69805483	x
FR-69817660	x
FR-69830014	x
FR-69874269	x
FR-69880706	x
FR-69882475	x
FR-69956932	x
FR-69957781	x
FR-69971623	x
FR-69971954	x
FR-69974628	x
FR-69974834	x
FR-70079049	x
FR-70147408	x
FR-70314678	x
FR-70369975	x
FR-70371207	x
FR-70379878	x
FR-70500573	x
FR-70547585	x
FR-70620086	x
FR-70646427	x
FR-70680486	x
FR-70687410	x
FR-70775918	x
FR-70798531	x
FR-70856780	x
FR-70934440	x
FR-70981991	x
FR-71070541	x
FR-71154910	x
FR-71184411	x
FR-71252762	x
FR-71356461	x
FR-71384365	x
FR-71449103	x
FR-71450398	x
FR-71536798	x
FR-71577084	x
FR-71632081	x
FR-71663002	x
FR-71703361	x
FR-71766401	x
FR-72005787	x
FR-72223168	x
FR-72235952	x
FR-72254127	x
FR-72264025	x
FR-72272479	x
FR-72318837	x
FR-72372189	x
FR-72373065	x
FR-72403998	x
FR-72422335	x
FR-72450166	x
FR-72450882	x
FR-72468667	x
FR-72481718	x
FR-72543040	x
FR-72544290	x
FR-72667783	x
FR-72689061	x
FR-72748667	x
FR-601822457	x
FR-601857361	x
FR-601892661	x
FR-601927725	x
FR-601935690	x
FR-601938321	x
FR-601978671	x
FR-601990275	x
FR-602031433	x
FR-602046086	x
FR-602084342	x
FR-602104594	x
FR-602156307	x
FR-602171835	x
FR-602200732	x
FR-602206696	x
FR-602227524	x
FR-602266139	x
FR-602269654	x
FR-602326089	x
FR-602333224	x
FR-602404610	x
FR-602448276	x
FR-602477776	x
FR-602484472	x
FR-602531311	x
FR-602554149	x
FR-602565485	x
FR-602588834	x
FR-602606527	x
FR-602621821	x
FR-602650553	x
FR-602680304	x
FR-602681529	x
FR-602693194	x
FR-602724716	x
FR-602754686	x
FR-602757035	x
FR-602788452	x
FR-602810464	x
FR-602822190	x
FR-602836298	x
FR-602873349	x
FR-602893533	x
FR-602949609	x
FR-602984324	x
FR-602999917	x
FR-603000640	x
FR-603036708	x
FR-603060294	x
FR-603072635	x
FR-603119116	x
FR-603138225	x
FR-603153756	x
FR-603171217	x
FR-603179162	x
FR-603262551	x
FR-603270928	x
FR-603312109	x
FR-603314438	x
FR-603430776	x
FR-603441876	x
FR-603447623	x
FR-603607453	x
FR-603631084	x
FR-603674180	x
FR-603683356	x
FR-603715671	x
FR-603749734	x
FR-603794902	x
FR-603824795	x
FR-603912656	x
FR-603923790	x
FR-603972788	x
FR-604035030	x
FR-604043357	x
FR-604070730	x
FR-604107639	x
FR-604131998	x
FR-604140430	x
FR-604167058	x
FR-604178157	x
FR-604258201	x
FR-604318568	x
FR-604363459	x
FR-604379637	x
FR-604413447	x
FR-604454242	x
FR-604457659	x
FR-604468905	x
FR-604550018	x
FR-604575217	x
FR-604582015	x
FR-604678267	x
FR-604722207	x
FR-604740781	x
FR-604773968	x
FR-604797062	x
FR-604859329	x
FR-604900122	x
FR-604911097	x
FR-604923153	x
FR-604929836	x
FR-604965920	x
FR-604984577	x
FR-604993678	x
FR-604995863	x
FR-605041784	x
FR-605088866	x
FR-605103386	x
FR-605156762	x
FR-605196973	x
FR-605230939	x
FR-605283053	x
FR-605351548	x
FR-605400707	x
FR-605436349	x
FR-605463335	x
FR-605494070	x
FR-605549810	x
FR-605621991	x
FR-605634011	x
FR-605650044	x
FR-605729389	x
FR-605737320	x
FR-605742887	x
FR-605762039	x
FR-605783202	x
FR-605829567	x
FR-605909996	x
FR-605932084	x
FR-606047591	x
FR-606083213	x
FR-606121558	x
FR-606173759	x
FR-606201348	x
FR-606213922	x
FR-606231608	x
FR-606249103	x
FR-606267339	x
FR-606330215	x
FR-606347735	x
FR-606356905	x
FR-606408322	x
FR-606478168	x
FR-606553137	x
FR-606575860	x
FR-606622067	x
FR-606655293	x
FR-606661496	x
FR-606768093	x
FR-606779431	x
FR-606839369	x
FR-606852819	x
FR-606944889	x
FR-606966362	x
FR-607001561	x
FR-607025990	x
FR-607066361	x
FR-607092498	x
FR-607151391	x
FR-607178528	x
FR-607188649	x
FR-607252243	x
FR-607289610	x
FR-607398195	x
FR-607422093	x
FR-607457294	x
FR-607539095	x
FR-607542834	x
FR-607566875	x
FR-607594952	x
FR-607689337	x
FR-607713079	x
FR-607804589	x
FR-607823990	x
FR-607856316	x
FR-607914331	x
FR-607944906	x
FR-608020434	x
FR-608154313	x
FR-608200870	x
FR-608214035	x
FR-608230611	x
FR-608234638	x
FR-608347043	x
FR-608359571	x
FR-608413391	x
FR-608446356	x
FR-608486076	x
FR-608537678	x
FR-608616155	x
FR-608641913	x
FR-608667826	x
FR-608696368	x
FR-608706835	x
FR-608769837	x
FR-608861566	x
FR-609067557	x
FR-609089111	x
FR-609109907	x
FR-609314879	x
FR-609327300	x
FR-609372377	x
FR-609396622	x
FR-609429787	x
FR-609517385	x
FR-609566541	x
FR-609601526	x
FR-609625598	x
FR-609684157	x
FR-609702799	x
FR-609717911	x
FR-609732978	x
FR-609769380	x
FR-609819962	x
FR-609847562	x
FR-609854718	x
FR-609895791	x
FR-609906201	x
FR-609947129	x
FR-609984188	x
FR-610081881	x
FR-610123743	x
FR-610152163	x
FR-610212954	x
FR-610232191	x
FR-610276438	x
FR-610309981	x
FR-610332559	x
FR-610388886	x
FR-610577700	x
FR-610645256	x
FR-610649837	x
FR-610703317	x
FR-610706100	x
FR-610707053	x
FR-610733566	x
FR-610755799	x
FR-610782985	x
FR-610810835	x
FR-610821280	x
FR-610835537	x
FR-610882010	x
FR-610886102	x
FR-610893693	x
FR-610949725	x
FR-610980726	x
FR-610995693	x
FR-611055835	x
FR-611085823	x
FR-611122706	x
FR-611174848	x
FR-611189796	x
FR-611205372	x
FR-611242718	x
FR-611389909	x
FR-611413845	x
FR-611460727	x
FR-611512947	x
FR-611539148	x
FR-611567824	x
FR-611632252	x
FR-611680381	x
FR-611725585	x
FR-611758188	x
FR-611804976	x
FR-611835836	x
FR-611846810	x
FR-611897565	x
FR-611953530	x
FR-612010958	x
FR-612053891	x
FR-612122499	x
FR-612123001	x
FR-612124296	x
FR-612138118	x
FR-612196291	x
FR-612202286	x
FR-612205868	x
FR-612241133	x
FR-612296761	x
FR-612298174	x
FR-612302885	x
FR-612319398	x
FR-612321790	x
FR-612338637	x
FR-612352025	x
FR-612388350	x
FR-612397348	x
FR-612513045	x
FR-612551273	x
FR-612569406	x
FR-612596327	x
FR-612647885	x
FR-612676103	x
FR-612746166	x
FR-612766938	x
FR-612771967	x
FR-612775934	x
FR-612813653	x
FR-612815270	x
FR-612822517	x
FR-612850331	x
FR-612862741	x
FR-612869066	x
FR-612881040	x
FR-612895730	x
FR-612946838	x
FR-612964989	x
FR-612981156	x
FR-612994455	x
FR-613010162	x
FR-613039408	x
FR-613132971	x
FR-613159765	x
FR-613179789	x
FR-613183583	x
FR-613191335	x
FR-613260498	x
FR-613261694	x
FR-613266357	x
FR-613297325	x
FR-613330462	x
FR-613334404	x
FR-613335403	x
FR-613357982	x
FR-613385339	x
FR-613395375	x
FR-613440560	x
FR-613480126	x
FR-613492194	x
FR-613492668	x
FR-613541455	x
FR-613579124	x
FR-613587652	x
FR-613596798	x
FR-613637706	x
FR-613640652	x
FR-613643352	x
FR-613697665	x
FR-613706220	x
FR-613707348	x
FR-613729073	x
FR-613822328	x
FR-613822621	x
FR-613829185	x
FR-613837428	x
FR-613858209	x
FR-613858710	x
FR-613870063	x
FR-613927231	x
FR-613968028	x
FR-613984330	x
FR-614048086	x
FR-614071712	x
FR-614105575	x
FR-614106938	x
FR-614115099	x
FR-614182144	x
FR-614214251	x
FR-614215529	x
FR-614296932	x
FR-614299653	x
FR-614304817	x
FR-614404087	x
FR-614422694	x
FR-614446723	x
FR-614494845	x
FR-614498000	x
FR-614522427	x
FR-614548271	x
FR-614564977	x
FR-614601924	x
FR-614657783	x
FR-614674562	x
FR-614694772	x
FR-614778488	x
FR-614778923	x
FR-614813468	x
FR-614867990	x
FR-614870099	x
FR-614896852	x
FR-614899640	x
FR-614923605	x
FR-614927479	x
FR-614937433	x
FR-614943971	x
FR-614969887	x
FR-614991548	x
FR-615054178	x
FR-615055342	x
FR-615126187	x
FR-615126695	x
FR-615146228	x
FR-615159230	x
FR-615179793	x
FR-615202204	x
FR-615230307	x
FR-615243471	x
FR-615299422	x
FR-615313658	x
FR-615330708	x
FR-615370803	x
FR-615372113	x
FR-615374142	x
FR-615457894	x
FR-615523287	x
FR-615553341	x
FR-615554099	x
FR-615609686	x
FR-615644237	x
FR-615663760	x
FR-615718115	x
FR-615718688	x
FR-615751930	x
FR-615775295	x
FR-615814996	x
FR-615838416	x
FR-615845764	x
FR-615913354	x
FR-615915017	x
FR-615952143	x
FR-615962676	x
FR-616003024	x
FR-616040972	x
FR-616059847	x
FR-616113133	x
FR-616123030	x
FR-616161377	x
FR-616170965	x
FR-616201065	x
FR-616238884	x
FR-616272799	x
FR-616300716	x
FR-616312161	x
FR-616369546	x
FR-616377429	x
FR-616394336	x
FR-616398355	x
FR-616501125	x
FR-616509396	x
FR-616532129	x
FR-616581594	x
FR-616635468	x
FR-616652470	x
FR-616749281	x
FR-616753157	x
FR-616762777	x
FR-616800423	x
FR-616891508	x
FR-616952620	x
FR-616977024	x
FR-616979332	x
FR-617002188	x
FR-617015005	x
FR-617060224	x
FR-617081997	x
FR-617087034	x
FR-617173867	x
FR-617199954	x
FR-617211650	x
FR-617306573	x
FR-617357859	x
FR-617359715	x
FR-617412588	x
FR-617412758	x
FR-617428791	x
FR-617441481	x
FR-617454661	x
FR-617487061	x
FR-617550079	x
FR-617635938	x
FR-617641289	x
FR-617699076	x
FR-617703255	x
FR-617788338	x
FR-617804566	x
FR-617840945	x
FR-617876023	x
FR-617877360	x
FR-617901974	x
FR-617907041	x
FR-617927594	x
FR-617950832	x
FR-618076465	x
FR-618084315	x
FR-618101125	x
FR-618146617	x
FR-618180713	x
FR-618221317	x
FR-618238500	x
FR-618296020	x
FR-618307513	x
FR-618328075	x
FR-618353182	x
FR-618376550	x
FR-618436371	x
FR-618453937	x
FR-618477612	x
FR-618491377	x
FR-618524651	x
FR-618527919	x
FR-618630969	x
FR-618642401	x
FR-618779550	x
FR-618783017	x
FR-618823908	x
FR-618829467	x
FR-618867412	x
FR-618867578	x
FR-618940054	x
FR-618941209	x
FR-619052876	x
FR-619057547	x
FR-619167245	x
FR-619207166	x
FR-619271254	x
FR-619273684	x
FR-619358221	x
FR-619485105	x
FR-619495483	x
FR-619605839	x
FR-619739800	x
FR-619761886	x
FR-619779969	x
FR-619784567	x
FR-619858819	x
FR-619935075	x
FR-619951451	x
FR-620002570	x
FR-620005328	x
FR-620017156	x
FR-620101276	x
FR-620110887	x
FR-620118043	x
FR-620191673	x
FR-620204412	x
FR-620207918	x
FR-620282160	x
FR-620293989	x
FR-620309602	x
FR-620396296	x
FR-620433059	x
FR-620434410	x
FR-620531986	x
FR-620539965	x
FR-620551052	x
FR-620618242	x
FR-620622333	x
FR-620633531	x
FR-620767053	x
FR-620768249	x
FR-620776388	x
FR-621003591	x
FR-621015808	x
FR-621034170	x
FR-621090416	x
FR-621104449	x
FR-621109376	x
FR-621158417	x
FR-621177138	x
FR-621249590	x
FR-621263115	x
FR-621289115	x
FR-621317342	x
FR-621326306	x
FR-621344454	x
FR-621403073	x
FR-621436974	x
FR-621482443	x
FR-621498573	x
FR-621534445	x
FR-621582988	x
FR-621591703	x
FR-621625537	x
FR-621688764	x
FR-621689957	x
FR-621712610	x
FR-621739209	x
FR-621759160	x
FR-621763348	x
FR-621774731	x
FR-621865672	x
FR-621872639	x
FR-621912362	x
FR-621954940	x
FR-621957232	x
FR-621964033	x
FR-621997216	x
FR-622022313	x
FR-622050147	x
FR-622060436	x
FR-622091236	x
FR-622142155	x
FR-622160792	x
FR-622165019	x
FR-622216514	x
FR-622227119	x
FR-622228186	x
FR-622262460	x
FR-622265397	x
FR-622272356	x
FR-622341720	x
FR-622349125	x
FR-622350425	x
FR-622404362	x
FR-622404961	x
FR-622495052	x
FR-622499138	x
FR-622503517	x
FR-622561460	x
FR-622564334	x
FR-622582572	x
FR-622660720	x
FR-622663776	x
FR-622669168	x
FR-622806850	x
FR-622819881	x
FR-622830226	x
FR-622883597	x
FR-622889242	x
FR-622958502	x
FR-622959983	x
FR-623102018	x
FR-623150992	x
FR-623151816	x
FR-623229912	x
FR-623343881	x
FR-623372075	x
FR-623400282	x
FR-623457929	x
FR-623465962	x
FR-623531002	x
FR-623639679	x
FR-623660880	x
FR-631276174	x
FR-633432158	x
FR-633469064	x
FR-633542982	x
FR-633613418	x
FR-633772223	x
FR-633868136	x
FR-633927625	x
FR-634049002	x
FR-634167552	x
FR-634225445	x
FR-634281199	x
FR-634369982	x
FR-634560668	x
FR-634646410	x
FR-634761916	x
FR-634785307	x
FR-634835755	x
FR-634905689	x
FR-634917211	x
FR-634986523	x
FR-635012070	x
FR-635085312	x
FR-635165269	x
FR-635182116	x
FR-635244231	x
FR-635306001	x
FR-635357598	x
FR-635435371	x
FR-635498874	x
FR-635576731	x
FR-635654194	x
FR-635710321	x
FR-635748184	x
FR-635780695	x
FR-635898503	x
FR-635960567	x
FR-636025051	x
FR-636051586	x
FR-636081993	x
FR-636107517	x
FR-636162795	x
FR-636195138	x
FR-636249209	x
FR-636328975	x
FR-636358922	x
FR-636420345	x
FR-636487912	x
FR-636622563	x
FR-636667404	x
FR-636682913	x
FR-636709816	x
FR-636748135	x
FR-636760325	x
FR-636815440	x
FR-636866138	x
FR-636881725	x
FR-636929917	x
FR-637010897	x
FR-637085130	x
FR-637138179	x
FR-637274239	x
FR-637310351	x
FR-637372659	x
FR-637518995	x
FR-637551370	x
FR-637558499	x
FR-637646278	x
FR-637654817	x
FR-637659817	x
FR-637669054	x
FR-637754325	x
FR-637783610	x
FR-637822201	x
FR-637825777	x
FR-637857099	x
FR-637898964	x
FR-637918781	x
FR-638031419	x
FR-638037693	x
FR-638059580	x
FR-638112269	x
FR-638132592	x
FR-638190127	x
FR-638261881	x
FR-638291505	x
FR-638309678	x
FR-638355798	x
FR-638431296	x
FR-638453840	x
FR-638484535	x
FR-638518379	x
FR-638578883	x
FR-638612463	x
FR-638697354	x
FR-638719070	x
FR-638770406	x
FR-638805171	x
FR-638825043	x
FR-638945666	x
FR-638982254	x
FR-639041386	x
FR-639055175	x
FR-639113439	x
FR-639159490	x
FR-639248080	x
FR-639312234	x
FR-639335705	x
FR-639505557	x
FR-639541312	x
FR-639599197	x
FR-639641513	x
FR-639661312	x
FR-639707335	x
FR-639753077	x
FR-639884551	x
FR-639942980	x
FR-640028710	x
FR-640046038	x
FR-640095738	x
FR-640187699	x
FR-640276200	x
FR-640359621	x
FR-640411964	x
FR-640458819	x
FR-640503811	x
FR-640537699	x
FR-640560393	x
FR-640567565	x
FR-640643746	x
FR-640661138	x
FR-640673620	x
FR-640690669	x
FR-640712911	x
FR-640899477	x
FR-640930491	x
FR-640959383	x
FR-640969017	x
FR-641004387	x
FR-641048192	x
FR-641101192	x
FR-641116357	x
FR-641146330	x
FR-641208153	x
FR-641216289	x
FR-641236167	x
FR-641264960	x
FR-641311648	x
FR-641401636	x
FR-641444814	x
FR-641466836	x
FR-641514146	x
FR-641552643	x
FR-641600878	x
FR-641637382	x
FR-641649119	x
FR-641684541	x
FR-641701193	x
FR-641719334	x
FR-641744855	x
FR-641805397	x
FR-641818257	x
FR-641896061	x
FR-641961669	x
FR-642002964	x
FR-642057826	x
FR-642062230	x
FR-642138679	x
FR-642166203	x
FR-642207748	x
FR-642213874	x
FR-642230533	x
FR-642240077	x
FR-642275567	x
FR-642276740	x
FR-642288481	x
FR-642309220	x
FR-642326504	x
FR-642337504	x
FR-642341969	x
FR-642361593	x
FR-642398396	x
FR-642497646	x
FR-642525846	x
FR-642529452	x
FR-642581587	x
FR-642586190	x
FR-642687339	x
FR-642688684	x
FR-642743834	x
FR-642745772	x
FR-642747585	x
FR-642789111	x
FR-642815264	x
FR-642844653	x
FR-642844850	x
FR-642853810	x
FR-642859992	x
FR-642871231	x
FR-642908774	x
FR-642958946	x
FR-642964169	x
FR-642987955	x
FR-642995531	x
FR-643001802	x
FR-643002519	x
FR-643007189	x
FR-643043805	x
FR-643045163	x
FR-643062361	x
FR-643118502	x
FR-643144334	x
FR-643207965	x
FR-643210744	x
FR-643217525	x
FR-643267424	x
FR-643290542	x
FR-643344308	x
FR-643373298	x
FR-643378835	x
FR-643412091	x
FR-643426081	x
FR-643432729	x
FR-643432932	x
FR-643450563	x
FR-643515169	x
FR-643558420	x
FR-643571668	x
FR-643580463	x
FR-643640107	x
FR-643652124	x
FR-643656652	x
FR-643665185	x
FR-643753378	x
FR-643815986	x
FR-643838369	x
FR-643915627	x
FR-643925362	x
FR-643930581	x
FR-643991834	x
FR-644019180	x
FR-644032194	x
FR-644034357	x
FR-644149402	x
FR-644189370	x
FR-644215085	x
FR-644225894	x
FR-644256924	x
FR-644333523	x
FR-644386292	x
FR-644395044	x
FR-644410577	x
FR-644501983	x
FR-644518491	x
FR-644534060	x
FR-644551623	x
FR-644591016	x
FR-644596242	x
FR-644709057	x
FR-644716464	x
FR-644769394	x
FR-644809515	x
FR-644823164	x
FR-644841667	x
FR-644856722	x
FR-644861248	x
FR-644868230	x
FR-644877116	x
FR-644914173	x
FR-644939093	x
FR-644962263	x
FR-644963836	x
FR-644991419	x
FR-645001836	x
FR-645023195	x
FR-645063238	x
FR-645087369	x
FR-645162262	x
FR-645168886	x
FR-645178700	x
FR-645185335	x
FR-645227821	x
FR-645228386	x
FR-645266788	x
FR-645294036	x
FR-645319473	x
FR-645349344	x
FR-645357414	x
FR-645360714	x
FR-645368405	x
FR-645420215	x
FR-645421064	x
FR-645425965	x
FR-645445650	x
FR-645472880	x
FR-645485736	x
FR-645491100	x
FR-645492182	x
FR-645492298	x
FR-645522326	x
FR-645551380	x
FR-645556576	x
FR-645576062	x
FR-645579111	x
FR-645611351	x
FR-645629588	x
FR-645640725	x
FR-645666745	x
FR-645685064	x
FR-645694919	x
FR-645742169	x
FR-645745609	x
FR-645771642	x
FR-645796715	x
FR-645813824	x
FR-645828475	x
FR-645879446	x
FR-645905295	x
FR-645908157	x
FR-645944440	x
FR-645971281	x
FR-645981329	x
FR-646046464	x
FR-646144654	x
FR-646163054	x
FR-646167938	x
FR-646196963	x
FR-646221818	x
FR-646251584	x
FR-646261787	x
FR-646289716	x
FR-646323960	x
FR-646354956	x
FR-646373463	x
FR-646380475	x
FR-646442923	x
FR-646451759	x
FR-646483615	x
FR-646490900	x
FR-646508733	x
FR-646517524	x
FR-646536890	x
FR-646540330	x
FR-646578963	x
FR-646581018	x
FR-646593053	x
FR-646616674	x
FR-646664421	x
FR-646671770	x
FR-646703301	x
FR-646722382	x
FR-646734103	x
FR-646824092	x
FR-646863223	x
FR-646883949	x
FR-646897429	x
FR-646979671	x
FR-647000496	x
FR-647050268	x
FR-647088776	x
FR-647093449	x
FR-647114619	x
FR-647161328	x
FR-647170733	x
FR-647205093	x
FR-647206289	x
FR-647219508	x
FR-647236974	x
FR-647291563	x
FR-647297920	x
FR-647299721	x
FR-647357244	x
FR-647361785	x
FR-647376014	x
FR-647459558	x
FR-647465459	x
FR-647466901	x
FR-647557939	x
FR-647567083	x
FR-647618637	x
FR-647631482	x
FR-647637157	x
FR-647669427	x
FR-647679797	x
FR-647694504	x
FR-647761810	x
FR-647785043	x
FR-647813760	x
FR-647860974	x
FR-647888957	x
FR-647991257	x
FR-648019119	x
FR-648084593	x
FR-648191815	x
FR-648224635	x
FR-648263449	x
FR-648275275	x
FR-648294644	x
FR-648385352	x
FR-648388818	x
FR-648406487	x
FR-648419189	x
FR-648495705	x
FR-648505216	x
FR-648568372	x
FR-648578435	x
FR-648579001	x
FR-648624648	x
FR-648624674	x
FR-648633957	x
FR-648649991	x
FR-648745544	x
FR-648762204	x
FR-648768407	x
FR-648772867	x
FR-648793772	x
FR-648820173	x
FR-648832212	x
FR-648847308	x
FR-648909197	x
FR-648914087	x
FR-648920561	x
FR-649000209	x
FR-649001814	x
FR-649024015	x
FR-649030228	x
FR-649043867	x
FR-649048390	x
FR-649179764	x
FR-649189467	x
FR-649289762	x
FR-649304788	x
FR-649391123	x
FR-649391889	x
FR-649407458	x
FR-649468937	x
FR-649531571	x
FR-649542364	x
FR-649625611	x
FR-649634956	x
FR-649641638	x
FR-649692325	x
FR-649699077	x
FR-649765343	x
FR-649782333	x
FR-649822065	x
FR-649864731	x
FR-649911623	x
FR-649944646	x
FR-649957814	x
FR-650021907	x
FR-650022750	x
FR-650062094	x
FR-650155289	x
FR-650187766	x
FR-650189116	x
FR-650206824	x
FR-650248825	x
FR-650275324	x
FR-650308471	x
FR-650315226	x
FR-650361761	x
FR-650453272	x
FR-650455377	x
FR-650468692	x
FR-650504534	x
FR-650507967	x
FR-650514846	x
FR-650633522	x
FR-650639136	x
FR-650771897	x
FR-650772036	x
FR-650910145	x
FR-651047571	x
FR-651083201	x
FR-651146049	x
FR-651149011	x
FR-651309860	x
FR-651315153	x
FR-651328893	x
FR-651369954	x
FR-651375240	x
FR-651383976	x
FR-651464975	x
FR-651467018	x
FR-651479913	x
FR-651521489	x
FR-651531553	x
FR-651585506	x
FR-651676428	x
FR-651689752	x
FR-651788448	x
FR-651865057	x
FR-651913930	x
FR-651921431	x
FR-651970660	x
FR-652002232	x
FR-652002322	x
FR-652138877	x
FR-652141310	x
FR-652157862	x
FR-652179735	x
FR-652210096	x
FR-652219686	x
FR-652320538	x
FR-652351417	x
FR-652376788	x
FR-652421342	x
FR-652437015	x
FR-652492240	x
FR-652534749	x
FR-652561011	x
FR-652581804	x
FR-652601490	x
FR-652602957	x
FR-652635284	x
FR-652703098	x
FR-652704732	x
FR-652710807	x
FR-652742115	x
FR-652743543	x
FR-652767727	x
