TemplateType=Home	Version=2015.0408	The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.
SKU	Update Delete
item_sku	update_delete
FR-101111	x
FR-103144	x
FR-103835	x
FR-104975	x
FR-105807	x
FR-105975	x
FR-106125	x
FR-107670	x
FR-108268	x
FR-109638	x
FR-111509	x
FR-112071	x
FR-113425	x
FR-113584	x
FR-115310	x
FR-120196	x
FR-120535	x
FR-122728	x
FR-123631	x
FR-124905	x
FR-126356	x
FR-126466	x
FR-127856	x
FR-129632	x
FR-130242	x
FR-130369	x
FR-130440	x
FR-131025	x
FR-133772	x
FR-134714	x
FR-135260	x
FR-135906	x
FR-136235	x
FR-136443	x
FR-137249	x
FR-137673	x
FR-138481	x
FR-138612	x
FR-139105	x
FR-140692	x
FR-141088	x
FR-141859	x
FR-142308	x
FR-142468	x
FR-143406	x
FR-144086	x
FR-145877	x
FR-146123	x
FR-146582	x
FR-147633	x
FR-148773	x
FR-151363	x
FR-152776	x
FR-154335	x
FR-154627	x
FR-155305	x
FR-155979	x
FR-156184	x
FR-156293	x
FR-158342	x
FR-159788	x
FR-160321	x
FR-161048	x
FR-161473	x
FR-162935	x
FR-163284	x
FR-164372	x
FR-164998	x
FR-165010	x
FR-166640	x
FR-167995	x
FR-168424	x
FR-168917	x
FR-172129	x
FR-174207	x
FR-174462	x
FR-174787	x
FR-175352	x
FR-175602	x
FR-176160	x
FR-179955	x
FR-180424	x
FR-182343	x
FR-183956	x
FR-184241	x
FR-184987	x
FR-186721	x
FR-188874	x
FR-189373	x
FR-192909	x
FR-198427	x
FR-198430	x
FR-199831	x
FR-201409	x
FR-201745	x
FR-202139	x
FR-202930	x
FR-204517	x
FR-205781	x
FR-208070	x
FR-212335	x
FR-212652	x
FR-212859	x
FR-213065	x
FR-213627	x
FR-214672	x
FR-221369	x
FR-222286	x
FR-223925	x
FR-224135	x
FR-225591	x
FR-226124	x
FR-226390	x
FR-227633	x
FR-227634	x
FR-227833	x
FR-229221	x
FR-231618	x
FR-231897	x
FR-232263	x
FR-235203	x
FR-237701	x
FR-238534	x
FR-239066	x
FR-241471	x
FR-242621	x
FR-243547	x
FR-244824	x
FR-245025	x
FR-246403	x
FR-246694	x
FR-246798	x
FR-247342	x
FR-247799	x
FR-249361	x
FR-250404	x
FR-251268	x
FR-253434	x
FR-255811	x
FR-256323	x
FR-256543	x
FR-256755	x
FR-259207	x
FR-261917	x
FR-263168	x
FR-263170	x
FR-263289	x
FR-264704	x
FR-264768	x
FR-268527	x
FR-270259	x
FR-270262	x
FR-270605	x
FR-270957	x
FR-271350	x
FR-271824	x
FR-273021	x
FR-274027	x
FR-276152	x
FR-276593	x
FR-276743	x
FR-277168	x
FR-277542	x
FR-277633	x
FR-280896	x
FR-282054	x
FR-282462	x
FR-288262	x
FR-288543	x
FR-289907	x
FR-293579	x
FR-296171	x
FR-298217	x
FR-300077	x
FR-300602	x
FR-301272	x
FR-302173	x
FR-302277	x
FR-302311	x
FR-303470	x
FR-305361	x
FR-306791	x
FR-307457	x
FR-309534	x
FR-309602	x
FR-309826	x
FR-310508	x
FR-310743	x
FR-311239	x
FR-311277	x
FR-311514	x
FR-312508	x
FR-313735	x
FR-317585	x
FR-317857	x
FR-319797	x
FR-320703	x
FR-320884	x
FR-323171	x
FR-323478	x
FR-323978	x
FR-325490	x
FR-325529	x
FR-326016	x
FR-328188	x
FR-328950	x
FR-330020	x
FR-331084	x
FR-333477	x
FR-333523	x
FR-333834	x
FR-334519	x
FR-335221	x
FR-335387	x
FR-336854	x
FR-336869	x
FR-337137	x
FR-338347	x
FR-339188	x
FR-339906	x
FR-341505	x
FR-342024	x
FR-344044	x
FR-344422	x
FR-345279	x
FR-346776	x
FR-348784	x
FR-349747	x
FR-349766	x
FR-350545	x
FR-351663	x
FR-353246	x
FR-353566	x
FR-354357	x
FR-356186	x
FR-357675	x
FR-359333	x
FR-360152	x
FR-360519	x
FR-360753	x
FR-361438	x
FR-361689	x
FR-362343	x
FR-363566	x
FR-363768	x
FR-364512	x
FR-364765	x
FR-368326	x
FR-369202	x
FR-369619	x
FR-370115	x
FR-371024	x
FR-371312	x
